City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Policarpo,PH,12.1791,125.5072,83.3,74,98,11.68,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,61.36,81,6,8.52,clear sky
2,Butaritari,KI,3.0707,172.7902,81.39,73,75,14.61,broken clouds
3,Hot Springs,US,34.5037,-93.0552,72.0,23,0,4.61,clear sky
4,Pochutla,MX,15.7432,-96.4661,81.82,77,100,5.1,overcast clouds
5,Provideniya,RU,64.3833,-173.3,22.86,73,99,1.21,overcast clouds
6,East London,ZA,-33.0153,27.9116,66.92,87,97,8.63,light rain
7,Qaanaaq,GL,77.484,-69.3632,-3.51,97,100,3.71,overcast clouds
8,Aksarka,RU,66.5606,67.7975,-4.74,97,99,7.76,overcast clouds
9,Dikson,RU,73.5069,80.5464,-9.69,100,81,12.21,broken clouds
10,Hobart,AU,-42.8794,147.3294,71.46,60,20,9.22,few clouds
11,Padang,ID,-0.9492,100.3543,75.25,72,5,3.44,clear sky
12,Nikolskoye,RU,59.7035,30.7861,26.87,69,100,16.17,overcast clouds
13,Chokurdakh,RU,70.6333,147.9167,1.02,93,100,9.82,overcast clouds
14,Krasnoselkup,RU,65.7,82.4667,-1.08,95,57,13.04,broken clouds
15,Albany,US,42.6001,-73.9662,40.57,86,95,1.99,overcast clouds
16,Atar,MR,20.5169,-13.0499,71.58,13,9,4.9,clear sky
17,Bethel,US,41.3712,-73.414,43.36,86,100,3.0,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,46.51,93,100,3.44,light rain
19,Cuamba,MZ,-14.8031,36.5372,69.67,96,100,1.07,overcast clouds
20,Poum,NC,-20.2333,164.0167,81.16,69,49,7.99,scattered clouds
21,Saldanha,ZA,-33.0117,17.9442,62.65,70,8,5.14,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,63.32,95,10,1.99,clear sky
23,Eston,CA,51.1501,-108.7514,27.91,52,68,16.96,broken clouds
24,Ushuaia,AR,-54.8,-68.3,46.06,93,75,4.61,light rain
25,Namibe,AO,-15.1961,12.1522,71.85,72,97,6.8,overcast clouds
26,Thanh Hoa,VN,19.8,105.7667,73.38,87,100,8.52,overcast clouds
27,Bengkulu,ID,-3.8004,102.2655,76.66,79,64,5.95,broken clouds
28,Pandamatenga,BW,-18.5278,25.627,67.62,85,56,3.74,broken clouds
29,Busselton,AU,-33.65,115.3333,66.79,66,45,20.31,scattered clouds
30,Luderitz,NA,-26.6481,15.1594,65.05,64,0,7.09,clear sky
31,Hithadhoo,MV,-0.6,73.0833,82.4,69,9,8.97,clear sky
32,Thongwa,MM,16.7619,96.5278,78.96,74,97,3.6,overcast clouds
33,Hilo,US,19.7297,-155.09,80.33,73,75,13.8,broken clouds
34,Jamestown,US,42.097,-79.2353,31.59,70,100,18.41,light snow
35,Victoria,HK,22.2855,114.1577,74.32,76,74,5.01,broken clouds
36,Mataura,NZ,-46.1927,168.8643,67.95,52,0,0.65,clear sky
37,Lucea,JM,18.451,-78.1736,80.46,70,98,9.33,overcast clouds
38,Castro,BR,-24.7911,-50.0119,62.71,97,28,4.27,scattered clouds
39,Saint-Philippe,RE,-21.3585,55.7679,75.22,82,8,8.14,clear sky
40,Lebu,CL,-37.6167,-73.65,55.2,89,0,3.44,clear sky
41,Hermanus,ZA,-34.4187,19.2345,62.8,82,5,11.27,clear sky
42,Beidao,CN,34.5686,105.8933,52.43,34,6,5.19,clear sky
43,San Luis,AR,-33.295,-66.3356,60.21,39,0,5.19,clear sky
